number,coordinate,dependencies
0,io.dropwizard.metrics5:metrics-logback:5.0.0-rc4,io.dropwizard.metrics5:metrics-logback:5.0.0-rc4;io.dropwizard.metrics5:metrics-core:5.0.0-rc4;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:slf4j-api:1.7.30
1,com.github.tkrs:fluflu-core_2.12:0.24.2,com.github.tkrs:fluflu-core_2.12:0.24.2;org.scala-lang:scala-library:2.12.12;com.github.tkrs:fluflu-msgpack_2.12:0.24.2;org.msgpack:msgpack-core:0.8.21;com.typesafe.scala-logging:scala-logging_2.12:3.9.2;org.scala-lang:scala-reflect:2.12.7;org.slf4j:slf4j-api:1.7.25
2,io.snappydata:snappy-spark-graphx_2.10:1.6.2-2,io.snappydata:snappy-spark-graphx_2.10:1.6.2-2;com.github.fommil.netlib:core:1.1.2;log4j:log4j:1.2.17;org.scala-lang:scala-library:2.10.6;com.google.guava:guava:14.0.1;org.slf4j:slf4j-log4j12:1.7.12;net.sourceforge.f2j:arpack_combined_all:0.1;org.scala-lang:scala-reflect:2.10.6;org.apache.xbean:xbean-asm5-shaded:4.4;org.slf4j:slf4j-api:1.7.12;io.snappydata:snappy-spark-test-tags_2.10:1.6.2-2;org.scalatest:scalatest_2.10:2.2.1
3,io.github.zxgangandy:base-eureka:1.0.7,io.github.zxgangandy:base-eureka:1.0.7;org.springframework.boot:spring-boot-starter:2.2.4.RELEASE;org.springframework.boot:spring-boot:2.2.4.RELEASE;org.springframework:spring-context:5.2.3.RELEASE;org.springframework.boot:spring-boot-autoconfigure:2.2.4.RELEASE;org.springframework.boot:spring-boot-starter-logging:2.2.4.RELEASE;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.apache.logging.log4j:log4j-to-slf4j:2.12.1;org.apache.logging.log4j:log4j-api:2.12.1;org.slf4j:jul-to-slf4j:1.7.30;jakarta.annotation:jakarta.annotation-api:1.3.5;org.springframework:spring-core:5.2.3.RELEASE;org.springframework:spring-jcl:5.2.3.RELEASE;org.yaml:snakeyaml:1.25;org.springframework.boot:spring-boot-starter-web:2.2.4.RELEASE;org.springframework.boot:spring-boot-starter-json:2.2.4.RELEASE;com.fasterxml.jackson.core:jackson-databind:2.10.2;com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.10.2;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.10.2;com.fasterxml.jackson.module:jackson-module-parameter-names:2.10.2;org.springframework.boot:spring-boot-starter-tomcat:2.2.4.RELEASE;org.apache.tomcat.embed:tomcat-embed-core:9.0.30;org.apache.tomcat.embed:tomcat-embed-el:9.0.30;org.apache.tomcat.embed:tomcat-embed-websocket:9.0.30;org.springframework.boot:spring-boot-starter-validation:2.2.4.RELEASE;jakarta.validation:jakarta.validation-api:2.0.2;org.hibernate.validator:hibernate-validator:6.0.18.Final;org.jboss.logging:jboss-logging:3.3.2.Final;com.fasterxml:classmate:1.3.4;org.springframework:spring-web:5.2.3.RELEASE;org.springframework:spring-webmvc:5.2.3.RELEASE;org.springframework:spring-aop:5.2.3.RELEASE;org.springframework:spring-expression:5.2.3.RELEASE;org.springframework.cloud:spring-cloud-starter-netflix-eureka-client:1.4.5.RELEASE;org.springframework.cloud:spring-cloud-starter:1.3.4.RELEASE;org.springframework.cloud:spring-cloud-context:1.3.4.RELEASE;org.springframework.security:spring-security-rsa:1.0.3.RELEASE;org.bouncycastle:bcpkix-jdk15on:1.55;org.bouncycastle:bcprov-jdk15on:1.55;org.springframework.cloud:spring-cloud-netflix-core:1.4.5.RELEASE;org.springframework.cloud:spring-cloud-netflix-eureka-client:1.4.5.RELEASE;com.netflix.eureka:eureka-client:1.7.2;org.codehaus.jettison:jettison:1.3.7;stax:stax-api:1.0.1;com.netflix.netflix-commons:netflix-eventbus:0.3.0;com.netflix.netflix-commons:netflix-infix:0.3.0;commons-jxpath:commons-jxpath:1.3;joda-time:joda-time:2.3;org.antlr:antlr-runtime:3.4;org.antlr:stringtemplate:3.2.1;antlr:antlr:2.7.7;com.google.code.gson:gson:2.1;org.apache.commons:commons-math:2.2;com.netflix.archaius:archaius-core:0.7.5;javax.ws.rs:jsr311-api:1.1.1;com.netflix.servo:servo-core:0.10.1;com.netflix.servo:servo-internal:0.10.1;com.sun.jersey:jersey-core:1.19.1;com.sun.jersey:jersey-client:1.19.1;com.sun.jersey.contribs:jersey-apache-client4:1.19.1;org.apache.httpcomponents:httpclient:4.3.4;org.apache.httpcomponents:httpcore:4.3.2;commons-codec:commons-codec:1.6;com.google.inject:guice:4.1.0;javax.inject:javax.inject:1;aopalliance:aopalliance:1.0;com.fasterxml.jackson.core:jackson-annotations:2.8.7;com.fasterxml.jackson.core:jackson-core:2.8.7;com.netflix.eureka:eureka-core:1.7.2;org.codehaus.woodstox:woodstox-core-asl:4.4.1;javax.xml.stream:stax-api:1.0-2;org.codehaus.woodstox:stax2-api:3.1.4;org.springframework.cloud:spring-cloud-starter-netflix-archaius:1.4.5.RELEASE;commons-configuration:commons-configuration:1.8;commons-lang:commons-lang:2.6;com.google.guava:guava:18.0;org.springframework.cloud:spring-cloud-starter-netflix-ribbon:1.4.5.RELEASE;com.netflix.ribbon:ribbon:2.2.5;com.netflix.ribbon:ribbon-transport:2.2.5;io.reactivex:rxnetty-contexts:0.4.9;io.reactivex:rxnetty-servo:0.4.9;io.reactivex:rxnetty:0.4.9;io.netty:netty-codec-http:4.0.27.Final;io.netty:netty-codec:4.0.27.Final;io.netty:netty-handler:4.0.27.Final;io.netty:netty-transport-native-epoll:4.0.27.Final;io.netty:netty-common:4.0.27.Final;io.netty:netty-buffer:4.0.27.Final;io.netty:netty-transport:4.0.27.Final;com.netflix.ribbon:ribbon-core:2.2.5;com.netflix.ribbon:ribbon-httpclient:2.2.5;commons-collections:commons-collections:3.2.2;com.netflix.netflix-commons:netflix-commons-util:0.1.1;com.netflix.ribbon:ribbon-loadbalancer:2.2.5;com.netflix.netflix-commons:netflix-statistics:0.1.1;io.reactivex:rxjava:1.2.0;com.netflix.ribbon:ribbon-eureka:2.2.5;org.slf4j:slf4j-api:1.7.12;com.thoughtworks.xstream:xstream:1.4.10;xmlpull:xmlpull:1.1.3.1;xpp3:xpp3_min:1.1.4c;org.springframework:spring-jdbc:5.2.3.RELEASE;org.springframework:spring-beans:5.2.3.RELEASE;org.springframework:spring-tx:5.2.3.RELEASE;org.springframework.cloud:spring-cloud-starter-openfeign:2.2.0.RELEASE;org.springframework.cloud:spring-cloud-openfeign-core:2.2.0.RELEASE;org.springframework.cloud:spring-cloud-netflix-ribbon:2.2.0.RELEASE;org.springframework.cloud:spring-cloud-netflix-archaius:2.2.0.RELEASE;org.springframework.boot:spring-boot-starter-aop:2.2.1.RELEASE;org.aspectj:aspectjweaver:1.9.4;io.github.openfeign.form:feign-form-spring:3.8.0;io.github.openfeign.form:feign-form:3.8.0;commons-fileupload:commons-fileupload:1.4;commons-io:commons-io:2.2;org.springframework.cloud:spring-cloud-commons:2.2.0.RELEASE;org.springframework.security:spring-security-crypto:5.2.1.RELEASE;io.github.openfeign:feign-core:10.4.0;io.github.openfeign:feign-slf4j:10.4.0;io.github.openfeign:feign-hystrix:10.4.0;com.netflix.hystrix:hystrix-core:1.5.18;org.hdrhistogram:HdrHistogram:2.1.9
4,net.exoego:aws-sdk-scalajs-facade-core_sjs1_2.12:0.32.0-v2.798.0,net.exoego:aws-sdk-scalajs-facade-core_sjs1_2.12:0.32.0-v2.798.0;org.scala-lang:scala-library:2.12.12;org.scala-js:scalajs-library_2.12:1.3.1
5,org.apache.camel.quarkus:camel-quarkus-grok:1.6.0,org.apache.camel.quarkus:camel-quarkus-grok:1.6.0;org.apache.camel.quarkus:camel-quarkus-core:1.6.0;io.quarkus:quarkus-core:1.11.0.Final;jakarta.annotation:jakarta.annotation-api:1.3.5;jakarta.enterprise:jakarta.enterprise.cdi-api:2.0.2;jakarta.el:jakarta.el-api:3.0.3;jakarta.interceptor:jakarta.interceptor-api:1.2.5;jakarta.ejb:jakarta.ejb-api:3.2.6;jakarta.inject:jakarta.inject-api:1.0;io.quarkus:quarkus-ide-launcher:1.11.0.Final;io.smallrye.config:smallrye-config:1.10.0;io.smallrye.common:smallrye-common-annotation:1.5.0;io.smallrye.config:smallrye-config-common:1.10.0;io.smallrye.common:smallrye-common-expression:1.5.0;io.smallrye.common:smallrye-common-function:1.5.0;io.smallrye.common:smallrye-common-constraint:1.5.0;io.smallrye.common:smallrye-common-classloader:1.5.0;org.ow2.asm:asm:9.0;org.jboss.logging:jboss-logging:3.4.1.Final;org.jboss.logmanager:jboss-logmanager-embedded:1.0.6;org.jboss.logging:jboss-logging-annotations:2.2.0.Final;org.jboss.threads:jboss-threads:3.2.0.Final;org.slf4j:slf4j-api:1.7.30;org.jboss.slf4j:slf4j-jboss-logmanager:1.1.0.Final;org.graalvm.sdk:graal-sdk:20.3.0;org.wildfly.common:wildfly-common:1.5.4.Final-format-001;io.quarkus:quarkus-bootstrap-runner:1.11.0.Final;io.smallrye.common:smallrye-common-io:1.5.0;io.quarkus:quarkus-arc:1.11.0.Final;io.quarkus.arc:arc:1.11.0.Final;jakarta.transaction:jakarta.transaction-api:1.3.3;org.eclipse.microprofile.context-propagation:microprofile-context-propagation-api:1.0.1;org.apache.camel.quarkus:camel-quarkus-support-common:1.6.0;io.quarkus:quarkus-development-mode-spi:1.11.0.Final;org.apache.camel:camel-base:3.7.0;org.apache.camel:camel-api:3.7.0;org.apache.camel:camel-management-api:3.7.0;org.apache.camel:camel-util:3.7.0;org.apache.camel:camel-componentdsl:3.7.0;org.apache.camel:camel-core-catalog:3.7.0;org.apache.camel:camel-tooling-model:3.7.0;org.apache.camel:camel-util-json:3.7.0;org.apache.camel:camel-core-engine:3.7.0;org.apache.camel:camel-base-engine:3.7.0;org.apache.camel:camel-core-reifier:3.7.0;org.apache.camel:camel-core-model:3.7.0;org.apache.camel:camel-core-languages:3.7.0;org.apache.camel:camel-core-processor:3.7.0;org.apache.camel:camel-endpointdsl:3.7.0;org.apache.camel:camel-microprofile-config:3.7.0;org.eclipse.microprofile.config:microprofile-config-api:1.4;org.apache.camel:camel-grok:3.7.0;org.apache.camel:camel-support:3.7.0;io.krakens:java-grok:0.1.9;org.apache.commons:commons-lang3:3.7
6,org.robolectric:robolectric-processor:3.4-rc1,org.robolectric:robolectric-processor:3.4-rc1;org.robolectric:robolectric-annotations:3.4-rc1;org.robolectric:shadow-api:3.4-rc1;com.google.guava:guava:20.0;com.google.code.gson:gson:2.8.0;ch.raffael.pegdown-doclet:pegdown-doclet:1.3;net.sourceforge.plantuml:plantuml:8032;org.pegdown:pegdown:1.6.0;org.parboiled:parboiled-java:1.1.7;org.parboiled:parboiled-core:1.1.7;org.ow2.asm:asm:5.0.3;org.ow2.asm:asm-tree:5.0.3;org.ow2.asm:asm-analysis:5.0.3;org.ow2.asm:asm-util:5.0.3
7,de.mhus.lib:lib-annotations:7.3.0,de.mhus.lib:lib-annotations:7.3.0;com.fasterxml.jackson.core:jackson-databind:2.10.2;com.fasterxml.jackson.core:jackson-annotations:2.10.2;com.fasterxml.jackson.core:jackson-core:2.10.2;org.apache.logging.log4j:log4j-core:2.8.1;org.apache.logging.log4j:log4j-api:2.8.1;org.slf4j:slf4j-api:1.7.6
8,org.webjars.npm:uppy__utils:3.2.5,org.webjars.npm:uppy__utils:3.2.5;org.webjars.npm:abortcontroller-polyfill:1.7.3;org.webjars.npm:lodash.throttle:4.1.1
9,org.idpf:epubcheck:v4.0.0-alpha6,org.idpf:epubcheck:v4.0.0-alpha6;net.sf.saxon:Saxon-HE:9.5.1-5;org.apache.commons:commons-compress:1.5;org.daisy.libs:jing:20120724.0.0;org.w3c.css:sac:1.3;com.google.guava:guava:13.0.1;org.codehaus.jackson:jackson-core-asl:1.9.12;org.codehaus.jackson:jackson-mapper-asl:1.9.12;org.javatuples:javatuples:1.2
10,com.github.dblock.waffle:waffle-jna:1.5,com.github.dblock.waffle:waffle-jna:1.5;net.java.dev.jna:platform:3.5.0;net.java.dev.jna:jna:3.5.0;org.slf4j:slf4j-api:1.7.2;com.google.guava:guava:13.0.1
11,com.alibaba.middleware:termd-core:1.1.7.11,com.alibaba.middleware:termd-core:1.1.7.11;io.netty:netty-common:4.1.45.Final;io.netty:netty-buffer:4.1.45.Final;io.netty:netty-transport:4.1.45.Final;io.netty:netty-resolver:4.1.45.Final;io.netty:netty-handler:4.1.45.Final;io.netty:netty-codec:4.1.45.Final;io.netty:netty-codec-http:4.1.45.Final;com.fasterxml.jackson.core:jackson-databind:2.7.9.4;com.fasterxml.jackson.core:jackson-annotations:2.7.0;com.fasterxml.jackson.core:jackson-core:2.7.9
12,org.apache.activemq.examples.clustered:clustered-static-discovery:2.15.0,org.apache.activemq.examples.clustered:clustered-static-discovery:2.15.0;org.apache.activemq:artemis-cli:2.15.0;org.apache.activemq:artemis-commons:2.15.0;io.netty:netty-buffer:4.1.48.Final;io.netty:netty-transport:4.1.48.Final;io.netty:netty-resolver:4.1.48.Final;io.netty:netty-handler:4.1.48.Final;commons-beanutils:commons-beanutils:1.9.4;commons-logging:commons-logging:1.2;commons-collections:commons-collections:3.2.2;org.apache.activemq:artemis-core-client:2.15.0;org.jgroups:jgroups:3.6.13.Final;org.apache.johnzon:johnzon-core:0.9.5;io.netty:netty-transport-native-epoll:4.1.48.Final;io.netty:netty-transport-native-unix-common:4.1.48.Final;io.netty:netty-transport-native-kqueue:4.1.48.Final;io.netty:netty-codec-http:4.1.48.Final;io.netty:netty-handler-proxy:4.1.48.Final;io.netty:netty-codec:4.1.48.Final;io.netty:netty-codec-socks:4.1.48.Final;io.netty:netty-common:4.1.48.Final;org.apache.activemq:artemis-journal:2.15.0;org.apache.activemq:activemq-artemis-native:1.0.2;org.jboss.logmanager:jboss-logmanager:2.0.3.Final;org.apache.activemq:artemis-server:2.15.0;org.apache.activemq:artemis-jdbc-store:2.15.0;org.jctools:jctools-core:2.1.2;org.apache.commons:commons-configuration2:2.7;org.apache.commons:commons-text:1.8;io.micrometer:micrometer-core:1.1.4;org.hdrhistogram:HdrHistogram:2.1.9;org.latencyutils:LatencyUtils:2.0.3;commons-io:commons-io:2.6;org.apache.activemq:artemis-jms-server:2.15.0;org.apache.activemq:artemis-service-extensions:2.15.0;org.apache.geronimo.specs:geronimo-jta_1.1_spec:1.1.1;org.apache.activemq:artemis-tools:2.15.0;org.apache.activemq:artemis-dto:2.15.0;javax.xml.bind:jaxb-api:2.2.7;com.sun.xml.bind:jaxb-impl:2.2.7;com.sun.xml.bind:jaxb-core:2.2.7;com.sun.istack:istack-commons-runtime:2.16;com.sun.xml.fastinfoset:FastInfoset:1.2.12;javax.xml.bind:jsr173_api:1.0;com.sun.xml.bind:jaxb-jxc:2.2.7;com.sun.xml.bind:jaxb-xjc:2.2.7;javax.activation:activation:1.1.1;javax.inject:javax.inject:1;org.apache.geronimo.specs:geronimo-jms_2.0_spec:1.0-alpha-2;org.apache.geronimo.specs:geronimo-json_1.0_spec:1.0-alpha-1;org.apache.qpid:qpid-jms-client:0.54.0;org.slf4j:slf4j-api:1.7.30;org.apache.qpid:proton-j:0.33.6;org.jboss.logging:jboss-logging:3.4.0.Final;io.airlift:airline:0.8;com.google.code.findbugs:jsr305:3.0.2;com.google.guava:guava:21.0;org.apache.commons:commons-lang3:3.0;org.apache.activemq:artemis-jms-client:2.15.0;org.apache.activemq:artemis-selector:2.15.0
